"CODIGOCLIENTE","EMPRESA","DIRECCION","POBLACION","TELEFONO","RESPONSABLE"
CT01,BELTRAN E HIJOS,LAS FUENTES 78,MADRID,(914) 45 64 35,ANGEL MARTINEZ
CT04,EXPORTASA,VALLECAS 34,MADRID,(913) 45 23 78,ELVIRA GOMEZ 
CT07,LA CASA DEL JUGUETE,AMERICA 45,MADRID,(912) 64 99 87,ELIAS PEREZ
CT10,FERETERIA EL CLAVO,PASEO DE ALAMOS 78,MADRID,(914) 35 48 66,MANUEL MENENDEZ
CT14,DEPORTES GARCIA,GUZMAN EL BUENO 45,MADRID,(913) 29 94 75,ANA JIMENEZ
CT19,CONFECCIONES GALAN,FUENCARRAL 78,MADRID,(913) 85 92 34,JUAN GARCIA
CT23,EL PALACIO DE LA MODA,ORTEGA Y GASSET 129,MADRID,(927) 78 52 35,LAURA CARRASCO
CT26,FERRETERIA LA ESCOBA,ORENSE 7,MADRID,(918) 45 93 46,JOSE GARCIA
CT30,BAZAR EL ARGENTINO,ATOCHA 55,MADRID,(912) 49 59 73,ADRIAN ALVAREZ
CT34,BAZAR LA FARAONA,CASTILLA Y LEON 34,MADRID,(915) 48 36 27,ANGEL SANTAMARIA
CT36,JUGUETES EDUCATIVOS SANZ,ORENSE 89,MADRID,(916) 87 23 54,PEDRO IGLESIAS
CT39,FERRETERIA LIMA,VALLECAS 45,MADRID,(913) 53 27 85,LUIS GARCIA
